,n_clusters,n_noise,wcss,silhouette_score,davies_bouldin_index,calinski_harabasz_score,k,inertia,linkage
kmeans_k2,2.0,0.0,651695.0625,0.09804657101631165,2.9489917814749655,57.83574295043945,2.0,651695.0625,
kmeans_k3,3.0,0.0,607070.3125,0.11152539402246475,2.3914058854043296,50.28048324584961,3.0,607070.375,
kmeans_k4,4.0,0.0,570540.3125,0.08723784983158112,2.3491186564285216,46.781986236572266,4.0,570540.3125,
kmeans_k5,5.0,0.0,539017.3125,0.094940185546875,2.264302918622528,44.71411895751953,5.0,539017.3125,
kmeans_k6,6.0,0.0,515896.875,0.09073340892791748,2.2851816041028457,41.98176956176758,6.0,515896.8125,
kmeans_k7,7.0,0.0,495113.375,0.08757412433624268,2.238481828961872,40.028560638427734,7.0,495113.375,
kmeans_k8,8.0,0.0,479587.46875,0.09376402944326401,2.108010195533118,37.75783157348633,8.0,479587.46875,
kmeans_k9,9.0,0.0,467139.8125,0.08995866030454636,2.1529475038235435,35.5819206237793,9.0,467139.75,
kmeans_k10,10.0,0.0,456923.90625,0.09583590179681778,2.1995853406351404,33.56004333496094,10.0,456923.96875,
hierarchical_k2_ward,2,0,668800.0,0.08619347214698792,3.314481370868056,42.903770446777344,2,,ward
hierarchical_k3_ward,3,0,621595.6,0.10233327001333237,2.6270516632132384,42.97153091430664,3,,ward
hierarchical_k4_ward,4,0,585505.2,0.10796947777271271,2.3137897836662447,41.122013092041016,4,,ward
hierarchical_k5_ward,5,0,555609.44,0.07555210590362549,2.5135644300552333,39.474246978759766,5,,ward
hierarchical_k6_ward,6,0,534428.1,0.07576723396778107,2.399013344498744,36.90597915649414,6,,ward
hierarchical_k7_ward,7,0,517644.0,0.07527312636375427,2.4327125972541643,34.50684356689453,7,,ward
hierarchical_k8_ward,8,0,502170.47,0.06659527122974396,2.42462094909778,32.719146728515625,8,,ward
hierarchical_k9_ward,9,0,488857.06,0.06546374410390854,2.283737957985598,31.11916732788086,9,,ward
hierarchical_k10_ward,10,0,477276.44,0.07073678076267242,2.2376089300463655,29.674592971801758,10,,ward
hierarchical_k2_complete,2,0,676279.94,0.2595118284225464,1.5611459741593772,36.61149978637695,2,,complete
hierarchical_k3_complete,3,0,636436.1,0.0680096372961998,3.0623789376045685,35.84849548339844,3,,complete
hierarchical_k4_complete,4,0,603243.6,0.0707012489438057,2.668275229290322,34.776729583740234,4,,complete
hierarchical_k5_complete,5,0,594836.56,0.06348554790019989,2.473383877633804,28.248640060424805,5,,complete
hierarchical_k6_complete,6,0,573297.8,0.0436481311917305,2.7992556800753685,27.325410842895508,6,,complete
hierarchical_k7_complete,7,0,568930.7,0.03919606655836105,2.8748672777125814,23.568544387817383,7,,complete
hierarchical_k8_complete,8,0,550449.1,0.040115565061569214,2.798654169882375,23.333986282348633,8,,complete
hierarchical_k9_complete,9,0,543205.25,0.04147610068321228,2.650971860725367,21.514863967895508,9,,complete
hierarchical_k10_complete,10,0,506835.5,0.06266112625598907,2.426479947866652,24.587257385253906,10,,complete
hierarchical_k2_average,2,0,676279.94,0.2595118284225464,1.5611459741593772,36.61149978637695,2,,average
hierarchical_k3_average,3,0,667493.6,0.2230209857225418,1.500419989044266,21.966773986816406,3,,average
hierarchical_k4_average,4,0,663267.0,0.18689382076263428,1.4581149295877402,15.822794914245605,4,,average
hierarchical_k5_average,5,0,659438.7,0.17875580489635468,1.3907087660014816,12.672281265258789,5,,average
hierarchical_k6_average,6,0,655877.4,0.17479977011680603,1.3448084347123066,10.740260124206543,6,,average
hierarchical_k7_average,7,0,653303.9,0.11169806122779846,1.4422003157228964,9.310320854187012,7,,average
hierarchical_k8_average,8,0,651681.44,0.07760646194219589,1.1987772426389895,8.16972827911377,8,,average
hierarchical_k9_average,9,0,649751.75,0.05474446713924408,1.1534058229310247,7.348623752593994,9,,average
hierarchical_k10_average,10,0,645998.8,0.021157313138246536,1.2215216226218997,6.891767978668213,10,,average
spectral_k2,1.0,0.0,723351.4375,0.0,inf,0.0,2.0,,
spectral_k3,1.0,0.0,723351.4375,0.0,inf,0.0,3.0,,
spectral_k4,1.0,0.0,723351.4375,0.0,inf,0.0,4.0,,
spectral_k5,1.0,0.0,723351.4375,0.0,inf,0.0,5.0,,
spectral_k6,1.0,0.0,723351.4375,0.0,inf,0.0,6.0,,
spectral_k7,1.0,0.0,723351.4375,0.0,inf,0.0,7.0,,
spectral_k8,1.0,0.0,723351.4375,0.0,inf,0.0,8.0,,
spectral_k9,1.0,0.0,723351.4375,0.0,inf,0.0,9.0,,
spectral_k10,1.0,0.0,723351.4375,0.0,inf,0.0,10.0,,
